 We are as one as we all are the same
 fighting for one cause
 Leather and metal are our uniforms
 protecting what we are
 Joining together to take on the world
 with our heavy metal
 Spreading the message to everyone here
 Come let yourself go

 On through the mist and the madness
 We are trying to get the message to you
 Metal Militia
 Metal Militia
 Metal Militia "11,2,Ride The Lightning,Fight Fire With Fire,1,1,1984,0,4,44,284,0,0,0,1,1,0,1,0,0,0,0,330,"Do unto others as they've done to you
 But what the hell is this world coming to?

 Blow the universe into nothingness
 Nuclear warfare shall lay us to rest

 Fight fire with fire
 Ending is near
 Fight fire with fire
 Bursting with fear
 We all shall die

 Time is like a fuse, short and burning fast
 Armageddon's here, like said in the past

 Fight fire with fire
 Ending is near
 Fight fire with fire
 Bursting with fear

 Soon to fill our lungs, the hot winds of death
 The gods are laughing, so take your last breath

 Fight fire with fire
 Ending is near
 Fight fire with fire
 Bursting with fear

 Fight fire with fire
 Fight fire with fire
 Fight fire with fire
 Fight fire with fire
 Fight fire with fire
 Fight fire with fire
 Fight fire with fire
 Fight fire with fire
 Fight "12,2,Ride The Lightning,Ride The Lightning,1,2,1984,0,6,36,396,0,0,0,1,1,0,1,1,0,0,0,348,"Guilty as charged
 But damn it, it ain't right
 There's someone else controlling me

 Death in the air
 Strapped in the electric chair
 This can't be happening to me

 Who made you God to say
 ""I'll take your life from you?""

 Flash before my eyes
 Now it's time to die
 Burning in my brain
 I can feel the flame

 Wait for the sign
 To flick the switch of death
 It's the beginning of the end

 Sweat, chilling cold
 As I watch death unfold
 Consciousness my only friend

 My fingers grip with fear
 What am I doing here?

 Flash before my eyes
 Now it's time to die
 Burning in my brain
 I can feel the flame

 Someone help me
 Oh please, God help me
 They're trying to take it all away
 I don't want to die

 Time moving slow
 The minutes seem like hours
 The final curtain call I see

 How true is this?
 Just get it over with
 If this is true, just let it be

 Wakened by horrid scream
 Freed from this frightening dream

 Flash before my eyes
 Now it's time to die
 Burning in my brain
 I can feel the flame"13,2,Ride The Lightning,For Whom The Bell Tolls,1,3,1984,0,5,9,309,0,1,0,1,1,0,1,0,0,0,0,1423,"Make his fight on the hill in the early day
 Constant chill deep inside
 Shouting gun, on they run through the endless grey
 On they fight, for they're right, yes, but who's to say?
 For a hill, men would kill, why? They do not know
 Stiffened wounds test their pride
 Men of five, still alive through the raging glow
 Gone insane from the pain that they surely know

 For whom the bell tolls
 Time marches on
 For whom the bell tolls

 Take a look to the sky just before you die
 It's the last time you will
 Blackened roar, massive roar, fills the crumbling sky
 Shattered goal fills his soul with a ruthless cry
 Stranger now, are his eyes, to this mystery
 He hears the silence so loud
 Crack of dawn, all is gone except the will to be
 Now they see what will be, blinded eyes to see

 For whom the bell tolls
 Time marches on
 For whom the bell tolls"14,2,Ride The Lightning,Fade To Black,1,4,1984,0,6,57,417,0,1,0,1,1,1,1,0,0,0,0,1164,"Life, it seems, will fade away
 Drifting further every day
 Getting lost within myself
 Nothing matters, no one else

 I have lost the will to live
 Simply nothing more to give
 There is nothing more for me
 Need the end to set me free

 Things not what they used to be
 Missing one inside of me
 Deathly lost, this can't be real
