Date,Venue,Festival,City_Country,Lat,Long,Tour,Set,Last_track_Set,Encores,Last_track_Encore,Encores_Count,Set_Length,Other_Acts,Has_Guitar_Solo,Has_Bass_Solo,Has_Drum_Solo,Has_Doodle,Has_Medley,Kill_'Em_All_Count,Ride_The_Lightning_Count,Master_Of_Puppets_Count,And_Justice_For_All_Count,Metallica_Count,Load_Count,Re_Load_Count,Garage_Inc_Count,St_Anger_Count,Death_Magnetic_Count,Hardwired_To_Self_Destruct_Count,URL
"July 24, 1998",Starwood Amphitheatre,,"Nashville, Tennessee, United States",36.1626638,-86.7816016,Poor ReTouring Me,"['Breadfan', 'Master of Puppets', 'Of Wolf and Man', 'The Thing That Should Not Be', 'Fuel', 'The Memory Remains', 'Bleeding Me', 'Bass/Guitar Doodle', 'Nothing Else Matters', 'Until It Sleeps', 'King Nothing', 'Wherever I May Roam', 'One', 'Fight Fire with Fire']",Fight Fire with Fire,"[""Low Man's Lyric"", 'The Four Horsemen', 'Last Caress\\n"", \'', 'Sad But True', 'Enter Sandman', 'Creeping Death']",Creeping Death,3.0,20.0,"['Jerry Cantrell', 'Days of the New']",False,False,False,True,False,0.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,https://www.metallica.com/events/event-10282.html
"July 22, 1998",Star Lake Amphitheatre,,"Pittsburgh, Pennsylvania, United States",40.44062479999999,-79.9958864,Poor ReTouring Me,"['Breadfan', 'Master of Puppets', 'Of Wolf and Man', 'The Thing That Should Not Be', 'Fuel', 'The Memory Remains', 'Bleeding Me', 'Bass/Guitar Doodle', 'Nothing Else Matters', 'Until It Sleeps', 'King Nothing', 'Wherever I May Roam', 'One', 'Fight Fire with Fire']",Fight Fire with Fire,"[""Low Man's Lyric"", 'The Four Horsemen', 'Last Caress\\n"", \'', 'Sad But True', 'Enter Sandman', 'Creeping Death']",Creeping Death,3.0,20.0,"['Jerry Cantrell', 'Days of the New']",False,False,False,True,False,0.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,https://www.metallica.com/events/event-10281.html
"July 21, 1998",Meadows Music Theatre,,"Hartford, Connecticut, United States",41.7658043,-72.6733723,Poor ReTouring Me,"['Breadfan', 'Master of Puppets', 'Of Wolf and Man', 'The Thing That Should Not Be', 'Fuel', 'The Memory Remains', 'Bleeding Me', 'Bass/Guitar Doodle', 'Nothing Else Matters', 'Until It Sleeps', 'King Nothing', 'Wherever I May Roam', 'One', 'Fight Fire with Fire']",Fight Fire with Fire,"[""Low Man's Lyric"", 'The Four Horsemen', 'Last Caress\\n"", \'', 'Sad But True', 'Enter Sandman', 'Creeping Death']",Creeping Death,3.0,20.0,"['Jerry Cantrell', 'Days of the New']",False,False,False,True,False,0.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,https://www.metallica.com/events/event-10280.html
"July 19, 1998",Great Woods Center For The Performing Arts,,"Mansfield, Massachusetts, United States",42.03345650000001,-71.2190578,Poor ReTouring Me,"['Helpless', 'Master of Puppets', 'Of Wolf and Man', 'The Thing That Should Not Be', 'Fuel', 'The Memory Remains', 'Bleeding Me', 'Bass/Guitar Doodle', 'Nothing Else Matters', ""Devil's Dance"", 'King Nothing', 'Wherever I May Roam', 'One', 'Fight Fire with Fire']",Fight Fire with Fire,"[""Low Man's Lyric"", 'The Four Horsemen', 'Motorbreath\\n"", \'', 'Sad But True', 'Enter Sandman', 'Creeping Death']",Creeping Death,3.0,20.0,"['Jerry Cantrell', 'Days of the New']",False,False,False,True,False,0.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,https://www.metallica.com/events/event-10279.html
"July 18, 1998",Great Woods Center For The Performing Arts,,"Mansfield, Massachusetts, United States",42.03345650000001,-71.2190578,Poor ReTouring Me,"['Breadfan', 'Master of Puppets', 'Of Wolf and Man', 'The Thing That Should Not Be', 'Fuel', 'The Memory Remains', 'Bleeding Me', 'Bass/Guitar Doodle', 'Nothing Else Matters', 'Until It Sleeps', 'King Nothing', 'Wherever I May Roam', 'One', 'Fight Fire with Fire']",Fight Fire with Fire,"[""Low Man's Lyric"", 'The Four Horsemen', 'Last Caress\\n"", \'', 'Sad But True', 'Enter Sandman', 'Creeping Death']",Creeping Death,3.0,20.0,"['Jerry Cantrell', 'Days of the New']",False,False,False,True,False,0.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,https://www.metallica.com/events/event-10278.html
"July 17, 1998",Giants Stadium,,"East Rutherford, New Jersey, United States",40.833989,-74.0970865,Poor ReTouring Me,"['Breadfan', 'Master of Puppets', 'Of Wolf and Man', 'The Thing That Should Not Be', 'Fuel', 'The Memory Remains', 'Bleeding Me', 'Bass/Guitar Doodle', 'Nothing Else Matters', 'Until It Sleeps', 'King Nothing', 'Wherever I May Roam', 'One', 'Fight Fire with Fire']",Fight Fire with Fire,"[""Low Man's Lyric"", 'The Four Horsemen', 'Last Caress\\n"", \'', 'Sad But True', 'Enter Sandman', 'Creeping Death']",Creeping Death,3.0,20.0,"['Jerry Cantrell', 'Days of the New']",False,False,False,True,False,0.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,https://www.metallica.com/events/event-10277.html
"July 15, 1998",Blockbuster-Sony Music Entertainment Centre At The Waterfront,,"Camden, New Jersey, United States",39.9259463,-75.1196199,Poor ReTouring Me,"['Breadfan', 'Master of Puppets', 'Of Wolf and Man', 'The Thing That Should Not Be', 'Fuel', 'The Memory Remains', 'Bleeding Me', 'Bass/Guitar Doodle', 'Nothing Else Matters', 'Until It Sleeps', 'King Nothing', 'Wherever I May Roam', 'One', 'Fight Fire with Fire']",Fight Fire with Fire,"[""Low Man's Lyric"", 'The Four Horsemen', 'Last Caress\\n"", \'', 'Sad But True', 'Enter Sandman', 'Creeping Death']",Creeping Death,3.0,20.0,"['Jerry Cantrell', 'Days of the New']",False,False,False,True,False,0.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,https://www.metallica.com/events/event-10276.html
"July 12, 1998",Darien Lake Performing Arts Center,,"Buffalo, New York, United States",42.88644679999999,-78.8783689,Poor ReTouring Me,"['Breadfan', 'Master of Puppets', 'Of Wolf and Man', 'The Thing That Should Not Be', 'Fuel', 'The Memory Remains', 'Bleeding Me', 'Bass/Guitar Doodle', 'Nothing Else Matters', 'Until It Sleeps', 'King Nothing', 'Wherever I May Roam', 'One', 'Fight Fire with Fire']",Fight Fire with Fire,"[""Low Man's Lyric"", 'The Four Horsemen', 'Last Caress\\n"", \'', 'Sad But True', 'Enter Sandman', 'Creeping Death']",Creeping Death,3.0,20.0,"['Jerry Cantrell', 'Days of the New']",False,False,False,True,False,0.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,https://www.metallica.com/events/event-10275.html
"July 11, 1998",Pine Knob Music Theatre,,"Detroit, Michigan, United States",42.331427,-83.0457538,Poor ReTouring Me,"['Breadfan', 'Master of Puppets', 'Of Wolf and Man', 'The Thing That Should Not Be', 'Fuel', 'The Memory Remains', 'Bleeding Me', 'Bass/Guitar Doodle', 'Nothing Else Matters', ""Devil's Dance"", 'King Nothing', 'Wherever I May Roam', 'One', 'Fight Fire with Fire']",Fight Fire with Fire,"[""Low Man's Lyric"", 'The Four Horsemen', 'Last Caress\\n"", \'', 'Sad But True', 'Enter Sandman', 'Creeping Death', 'Whiplash']",Whiplash,3.0,21.0,"['Jerry Cantrell', 'Days of the New']",False,False,False,True,False,0.0,1.0,2.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0,0.0,https://www.metallica.com/events/event-10274.html
"July 10, 1998",Pine Knob Music Theatre,,"Detroit, Michigan, United States",42.331427,-83.0457538,Poor ReTouring Me,"['Helpless', 'Master of Puppets', 'Of Wolf and Man', 'The Thing That Should Not Be', 'Fuel', 'The Memory Remains', 'Bleeding Me', 'Bass/Guitar Doodle', 'Nothing Else Matters', 'Until It Sleeps', 'King Nothing', 'Wherever I May Roam', 'One', 'Fight Fire with Fire']",Fight Fire with Fire,"[""Low Man's Lyric"", 'The Four Horsemen', 'Motorbreath\\n"", \'', 'Sad But True', 'Enter Sandman', 'Creeping Death']",Creeping Death,3.0,20.0,"['Jerry Cantrell', 'Days of the New']",False,False,False,True,False,0.0,1.0,2.0,1.0,3.0,3.0,2.0,1.0,0.0,0.0,0.0,https://www.metallica.com/events/event-10273.html
